id,created,product
1280444,2020-02-21 20:19:17 -0800,ios
1280443,2020-02-21 19:32:35 -0800,firefox
1280442,2020-02-21 19:23:18 -0800,mobile
1280441,2020-02-21 18:49:32 -0800,firefox
1280440,2020-02-21 18:07:32 -0800,firefox
1280439,2020-02-21 17:49:44 -0800,firefox
1280438,2020-02-21 16:55:51 -0800,thunderbird
1280437,2020-02-21 16:17:42 -0800,thunderbird
1280436,2020-02-21 16:06:23 -0800,thunderbird
1280435,2020-02-21 15:08:24 -0800,firefox-lockwise
1280434,2020-02-21 14:49:57 -0800,firefox
1280433,2020-02-21 14:33:00 -0800,firefox
1280432,2020-02-21 14:17:55 -0800,thunderbird
1280431,2020-02-21 14:02:02 -0800,thunderbird
1280430,2020-02-21 13:42:49 -0800,firefox
1280429,2020-02-21 13:23:26 -0800,thunderbird
1280428,2020-02-21 12:58:46 -0800,mobile
1280427,2020-02-21 12:34:46 -0800,firefox
1280426,2020-02-21 12:32:45 -0800,firefox
1280425,2020-02-21 12:31:01 -0800,firefox
1280424,2020-02-21 12:24:19 -0800,firefox
1280423,2020-02-21 12:21:32 -0800,mobile
1280422,2020-02-21 12:17:37 -0800,thunderbird
1280421,2020-02-21 11:59:51 -0800,firefox
1280420,2020-02-21 11:51:48 -0800,firefox
1280419,2020-02-21 11:35:26 -0800,firefox
1280418,2020-02-21 11:32:17 -0800,firefox
1280417,2020-02-21 11:28:03 -0800,firefox
1280416,2020-02-21 11:08:12 -0800,firefox
1280415,2020-02-21 10:50:27 -0800,firefox
1280414,2020-02-21 10:40:27 -0800,thunderbird
1280413,2020-02-21 10:36:53 -0800,mobile
1280412,2020-02-21 10:28:35 -0800,firefox
1280411,2020-02-21 09:56:17 -0800,thunderbird
1280410,2020-02-21 09:53:25 -0800,thunderbird
1280409,2020-02-21 09:15:04 -0800,firefox
1280408,2020-02-21 08:59:40 -0800,thunderbird
1280407,2020-02-21 08:54:30 -0800,firefox
1280406,2020-02-21 08:50:13 -0800,firefox
1280405,2020-02-21 08:36:37 -0800,firefox
1280404,2020-02-21 08:25:36 -0800,firefox
1280403,2020-02-21 08:16:21 -0800,firefox
1280402,2020-02-21 08:05:28 -0800,mobile
1280401,2020-02-21 07:34:07 -0800,firefox
1280400,2020-02-21 07:17:08 -0800,firefox
1280399,2020-02-21 07:16:32 -0800,thunderbird
1280398,2020-02-21 07:05:41 -0800,ios
1280397,2020-02-21 06:46:50 -0800,thunderbird
1280396,2020-02-21 06:28:31 -0800,thunderbird
1280395,2020-02-21 06:19:45 -0800,thunderbird
1280394,2020-02-21 05:44:54 -0800,thunderbird
1280393,2020-02-21 05:07:16 -0800,firefox
1280392,2020-02-21 04:16:59 -0800,firefox
1280391,2020-02-21 04:11:17 -0800,thunderbird
1280390,2020-02-21 04:09:55 -0800,thunderbird
1280389,2020-02-21 04:08:09 -0800,firefox
1280388,2020-02-21 03:38:14 -0800,firefox
1280387,2020-02-21 02:17:17 -0800,firefox
1280386,2020-02-21 01:46:56 -0800,firefox
1280385,2020-02-20 23:29:11 -0800,mobile
1280384,2020-02-20 22:47:36 -0800,firefox
1280383,2020-02-20 22:31:17 -0800,mobile
1280382,2020-02-20 22:26:10 -0800,firefox
1280381,2020-02-20 22:07:15 -0800,mobile
1280380,2020-02-20 22:07:14 -0800,mobile
1280379,2020-02-20 22:07:12 -0800,mobile
1280378,2020-02-20 21:41:46 -0800,firefox
1280377,2020-02-20 21:15:37 -0800,firefox
1280376,2020-02-20 20:08:30 -0800,mobile
1280375,2020-02-20 19:35:38 -0800,firefox
1280374,2020-02-20 18:32:33 -0800,thunderbird
1280373,2020-02-20 18:09:24 -0800,mobile
1280372,2020-02-20 17:48:02 -0800,firefox
1280371,2020-02-20 17:05:59 -0800,firefox
1280370,2020-02-20 17:01:12 -0800,firefox
1280369,2020-02-20 16:31:49 -0800,firefox-private-network
1280368,2020-02-20 16:10:51 -0800,thunderbird
1280367,2020-02-20 16:05:16 -0800,firefox
1280366,2020-02-20 16:03:28 -0800,firefox-private-network
1280365,2020-02-20 15:56:37 -0800,thunderbird
1280364,2020-02-20 15:47:33 -0800,thunderbird
1280363,2020-02-20 15:31:36 -0800,thunderbird
1280362,2020-02-20 15:20:32 -0800,firefox
1280361,2020-02-20 14:39:33 -0800,firefox
1280360,2020-02-20 14:35:57 -0800,mobile
1280359,2020-02-20 14:05:28 -0800,thunderbird
1280358,2020-02-20 13:55:03 -0800,thunderbird
1280357,2020-02-20 13:53:02 -0800,firefox
1280356,2020-02-20 13:23:18 -0800,thunderbird
1280355,2020-02-20 13:21:32 -0800,firefox
1280354,2020-02-20 13:16:00 -0800,firefox
1280353,2020-02-20 13:06:29 -0800,thunderbird
1280352,2020-02-20 13:02:37 -0800,firefox
1280351,2020-02-20 12:58:00 -0800,firefox
1280350,2020-02-20 12:37:19 -0800,mobile
1280349,2020-02-20 12:18:41 -0800,firefox
1280348,2020-02-20 12:13:58 -0800,firefox
1280347,2020-02-20 11:39:02 -0800,firefox
1280346,2020-02-20 11:36:11 -0800,firefox
1280345,2020-02-20 11:31:02 -0800,thunderbird
1280344,2020-02-20 11:12:11 -0800,firefox
1280343,2020-02-20 11:09:21 -0800,thunderbird
1280342,2020-02-20 10:47:57 -0800,thunderbird
1280341,2020-02-20 10:44:50 -0800,firefox
1280340,2020-02-20 10:43:28 -0800,firefox
1280339,2020-02-20 10:16:01 -0800,firefox
1280338,2020-02-20 10:06:23 -0800,firefox
1280337,2020-02-20 09:58:50 -0800,mobile
1280336,2020-02-20 09:57:21 -0800,firefox
1280335,2020-02-20 09:46:18 -0800,mobile
1280334,2020-02-20 09:28:36 -0800,firefox
1280333,2020-02-20 09:24:36 -0800,firefox
1280332,2020-02-20 09:07:18 -0800,mobile
